,10090,10181,29073,6239,7227,7955,9544,9606,9685,9785,9913,9940,9986
OG0006568,['10090.ENSMUSP00000041839'],['10181.XP_004847929.1'],['29073.XP_008691055.1'],[],['7227.FBpp0292397'],['7955.ENSDARP00000116609'],['9544.ENSMMUP00000028456'],"['9606.ENSP00000369081', '9606.ENSP00000442453']",['9685.ENSFCAP00000024856'],['9785.ENSLAFP00000022041'],['9913.ENSBTAP00000025617'],['9940.ENSOARP00000018378'],['9986.ENSOCUP00000016918']
OG0000645,"['10090.ENSMUSP00000033553', '10090.ENSMUSP00000088857', '10090.ENSMUSP00000124518']","['10181.XP_004834476.1', '10181.XP_004838101.1', '10181.XP_004872301.1']","['29073.XP_008686582.1', '29073.XP_008705546.1', '29073.XP_008705577.1', '29073.XP_008708887.1']",[],[],"['7955.ENSDARP00000015293', '7955.ENSDARP00000064732', '7955.ENSDARP00000076731', '7955.ENSDARP00000128173']","['9544.ENSMMUP00000003752', '9544.ENSMMUP00000006002', '9544.ENSMMUP00000006003', '9544.ENSMMUP00000007315']","['9606.ENSP00000264613', '9606.ENSP00000313699', '9606.ENSP00000430620']","['9685.ENSFCAP00000002971', '9685.ENSFCAP00000010112', '9685.ENSFCAP00000013670']","['9785.ENSLAFP00000000839', '9785.ENSLAFP00000009970', '9785.ENSLAFP00000018127']","['9913.ENSBTAP00000010500', '9913.ENSBTAP00000016137', '9913.ENSBTAP00000054213']","['9940.ENSOARP00000002040', '9940.ENSOARP00000005325', '9940.ENSOARP00000005423', '9940.ENSOARP00000005727']","['9986.ENSOCUP00000008162', '9986.ENSOCUP00000012785', '9986.ENSOCUP00000026384']"
OG0003222,['10090.ENSMUSP00000027137'],"['10181.XP_004839875.1', '10181.XP_004872357.1']",['29073.XP_008685474.1'],"['6239.R08F11.6', '6239.R09B5.4', '6239.Y37E3.16.1']",[],"['7955.ENSDARP00000000250', '7955.ENSDARP00000073754']",['9544.ENSMMUP00000004671'],['9606.ENSP00000261024'],['9685.ENSFCAP00000006917'],['9785.ENSLAFP00000007692'],['9913.ENSBTAP00000045304'],['9940.ENSOARP00000017599'],['9986.ENSOCUP00000004176']
OG0000255,"['10090.ENSMUSP00000020779', '10090.ENSMUSP00000021005', '10090.ENSMUSP00000050497', '10090.ENSMUSP00000113703']","['10181.XP_004868411.1', '10181.XP_004868416.1', '10181.XP_004870367.1', '10181.XP_004870371.1']","['29073.XP_008685153.1', '29073.XP_008687391.1', '29073.XP_008693832.1', '29073.XP_008693833.1', '29073.XP_008704895.1']","['6239.C16C8.2', '6239.F32A5.2a', '6239.F49E12.1', '6239.K09C8.5', '6239.ZK430.8', '6239.ZK994.3']",['7227.FBpp0072828'],"['7955.ENSDARP00000010533', '7955.ENSDARP00000043960', '7955.ENSDARP00000046463']","['9544.ENSMMUP00000003023', '9544.ENSMMUP00000003729', '9544.ENSMMUP00000012634', '9544.ENSMMUP00000015706', '9544.ENSMMUP00000032110', '9544.ENSMMUP00000036781']","['9606.ENSP00000225275', '9606.ENSP00000225371', '9606.ENSP00000252804', '9606.ENSP00000318820', '9606.ENSP00000348645']","['9685.ENSFCAP00000002649', '9685.ENSFCAP00000007721', '9685.ENSFCAP00000011378', '9685.ENSFCAP00000019368']","['9785.ENSLAFP00000002163', '9785.ENSLAFP00000002171', '9785.ENSLAFP00000007093', '9785.ENSLAFP00000010571']",['9913.ENSBTAP00000016989'],"['9940.ENSOARP00000000858', '9940.ENSOARP00000005640', '9940.ENSOARP00000005666', '9940.ENSOARP00000009967']","['9986.ENSOCUP00000004823', '9986.ENSOCUP00000005640', '9986.ENSOCUP00000008623', '9986.ENSOCUP00000014115', '9986.ENSOCUP00000022906']"
OG0010360,['10090.ENSMUSP00000059977'],['10181.XP_004849484.1'],['29073.XP_008697028.1'],[],[],['7955.ENSDARP00000104772'],['9544.ENSMMUP00000016926'],['9606.ENSP00000354612'],['9685.ENSFCAP00000010395'],['9785.ENSLAFP00000000016'],['9913.ENSBTAP00000008833'],['9940.ENSOARP00000015152'],['9986.ENSOCUP00000002186']
OG0003887,['10090.ENSMUSP00000125451'],['10181.XP_004843222.1'],['29073.XP_008700816.1'],['6239.T20B12.7'],['7227.FBpp0080284'],['7955.ENSDARP00000067234'],"['9544.ENSMMUP00000026965', '9544.ENSMMUP00000029916']",['9606.ENSP00000377914'],"['9685.ENSFCAP00000004338', '9685.ENSFCAP00000021316']",['9785.ENSLAFP00000001778'],['9913.ENSBTAP00000002418'],['9940.ENSOARP00000000187'],['9986.ENSOCUP00000006476']
OG0004750,['10090.ENSMUSP00000066621'],['10181.XP_004838776.1'],['29073.XP_008683980.1'],['6239.D2063.3a'],['7227.FBpp0080044'],['7955.ENSDARP00000040389'],"['9544.ENSMMUP00000024249', '9544.ENSMMUP00000034496']",['9606.ENSP00000357633'],['9685.ENSFCAP00000010911'],['9785.ENSLAFP00000012718'],['9913.ENSBTAP00000006613'],['9940.ENSOARP00000016239'],['9986.ENSOCUP00000011269']
OG0006283,['10090.ENSMUSP00000021522'],['10181.XP_004837068.1'],['29073.XP_008700696.1'],['6239.Y49E10.2'],['7227.FBpp0073806'],['7955.ENSDARP00000064111'],['9544.ENSMMUP00000022473'],['9606.ENSP00000328570'],['9685.ENSFCAP00000011221'],['9785.ENSLAFP00000006576'],['9913.ENSBTAP00000017860'],['9940.ENSOARP00000017125'],['9986.ENSOCUP00000010870']
OG0006774,['10090.ENSMUSP00000050683'],['10181.XP_004855478.1'],['29073.XP_008703191.1'],['6239.R13H8.1h'],[],"['7955.ENSDARP00000036177', '7955.ENSDARP00000111967']",['9544.ENSMMUP00000032969'],['9606.ENSP00000385824'],['9685.ENSFCAP00000022859'],['9785.ENSLAFP00000004889'],['9913.ENSBTAP00000014920'],['9940.ENSOARP00000011521'],['9986.ENSOCUP00000009021']
OG0008327,['10090.ENSMUSP00000046196'],['10181.XP_004840693.1'],['29073.XP_008701628.1'],[],['7227.FBpp0074266'],['7955.ENSDARP00000101629'],['9544.ENSMMUP00000022837'],['9606.ENSP00000371388'],['9685.ENSFCAP00000023955'],['9785.ENSLAFP00000020939'],['9913.ENSBTAP00000014499'],['9940.ENSOARP00000020416'],['9986.ENSOCUP00000021578']
OG0003209,['10090.ENSMUSP00000028610'],['10181.XP_004852116.1'],['29073.XP_008685042.1'],"['6239.Y54G11A.13a', '6239.Y54G11A.5.1', '6239.Y54G11A.6']","['7227.FBpp0074825', '7227.FBpp0079333']",['7955.ENSDARP00000013402'],['9544.ENSMMUP00000003264'],['9606.ENSP00000241052'],['9685.ENSFCAP00000001877'],['9785.ENSLAFP00000004872'],['9913.ENSBTAP00000027941'],['9940.ENSOARP00000019931'],['9986.ENSOCUP00000012203']
OG0005738,['10090.ENSMUSP00000028704'],['10181.XP_004840864.1'],['29073.XP_008701559.1'],['6239.F41E6.5b'],['7227.FBpp0099608'],['7955.ENSDARP00000029912'],['9544.ENSMMUP00000012052'],['9606.ENSP00000368066'],['9685.ENSFCAP00000009121'],['9785.ENSLAFP00000013631'],['9913.ENSBTAP00000053733'],['9940.ENSOARP00000000033'],['9986.ENSOCUP00000009921']
OG0007455,['10090.ENSMUSP00000035486'],['10181.XP_004852350.1'],['29073.XP_008707279.1'],[],['7227.FBpp0290166'],['7955.ENSDARP00000120216'],['9544.ENSMMUP00000007284'],['9606.ENSP00000436318'],['9685.ENSFCAP00000006854'],['9785.ENSLAFP00000007620'],['9913.ENSBTAP00000005683'],['9940.ENSOARP00000007925'],['9986.ENSOCUP00000011889']
OG0002307,"['10090.ENSMUSP00000006742', '10090.ENSMUSP00000058840']","['10181.XP_004844187.1', '10181.XP_004867541.1']","['29073.XP_008703175.1', '29073.XP_008705112.1']",['6239.Y76A2A.2a'],['7227.FBpp0271765'],"['7955.ENSDARP00000029666', '7955.ENSDARP00000054976']",['9544.ENSMMUP00000016908'],"['9606.ENSP00000242839', '9606.ENSP00000345728']","['9685.ENSFCAP00000003418', '9685.ENSFCAP00000017235']","['9785.ENSLAFP00000010415', '9785.ENSLAFP00000022785']","['9913.ENSBTAP00000013214', '9913.ENSBTAP00000013674']","['9940.ENSOARP00000009727', '9940.ENSOARP00000019703']","['9986.ENSOCUP00000003588', '9986.ENSOCUP00000012171']"
OG0003864,['10090.ENSMUSP00000042602'],['10181.XP_004865056.1'],['29073.XP_008681891.1'],['6239.R09B3.1a.1'],['7227.FBpp0288680'],['7955.ENSDARP00000067373'],['9544.ENSMMUP00000025143'],['9606.ENSP00000216714'],['9685.ENSFCAP00000023326'],['9785.ENSLAFP00000017753'],['9913.ENSBTAP00000003559'],"['9940.ENSOARP00000001967', '9940.ENSOARP00000015478', '9940.ENSOARP00000021201']",['9986.ENSOCUP00000004349']
OG0002629,"['10090.ENSMUSP00000021268', '10090.ENSMUSP00000035250']","['10181.XP_004857529.1', '10181.XP_004857531.1']","['29073.XP_008686326.1', '29073.XP_008686327.1']",[],[],['7955.ENSDARP00000095620'],"['9544.ENSMMUP00000026104', '9544.ENSMMUP00000026754']","['9606.ENSP00000314879', '9606.ENSP00000315167']","['9685.ENSFCAP00000014085', '9685.ENSFCAP00000014088']","['9785.ENSLAFP00000001944', '9785.ENSLAFP00000016096']","['9913.ENSBTAP00000016553', '9913.ENSBTAP00000034797']","['9940.ENSOARP00000020096', '9940.ENSOARP00000020179']","['9986.ENSOCUP00000005162', '9986.ENSOCUP00000018198']"
OG0004301,['10090.ENSMUSP00000030583'],['10181.XP_004850948.1'],['29073.XP_008692670.1'],['6239.C29E4.8.1'],['7227.FBpp0072072'],['7955.ENSDARP00000010686'],['9544.ENSMMUP00000008266'],['9606.ENSP00000346921'],['9685.ENSFCAP00000024380'],['9785.ENSLAFP00000004402'],['9913.ENSBTAP00000023406'],['9940.ENSOARP00000022429'],"['9986.ENSOCUP00000001575', '9986.ENSOCUP00000016296']"
